ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J90_16_8,grdlw,600000.0,296.0,71,265,OPT,40.02442841329822,0,71.0,71.0,71.0,0.0
J90_16_9,grdlw,600000.0,424.0,66,283,OPT,52.2591181273816,0,66.0,66.0,66.0,0.0
J90_17_1,grdlw,600000.0,202401.0,92,313031,OPT,59.13780397936625,17,92.0,92.0,92.0,0.0
J90_17_3,grdlw,600000.0,17921.0,87,38485,OPT,54.6347793845013,21,89.0,89.0,89.0,2.247191011235955
J90_17_4,grdlw,600000.0,18338.0,94,38634,OPT,48.4612462006079,11,94.0,94.0,94.0,0.0
J90_17_5,grdlw,600000.0,1801.0,113,2681,OPT,43.496410085156114,13,113.0,113.0,113.0,0.0
J90_17_6,grdlw,600000.0,74729.0,94,111810,OPT,54.06534954407295,15,94.0,94.0,94.0,0.0
J90_17_7,grdlw,600000.0,14962.0,79,50934,OPT,58.48570089076418,13,80.0,80.0,80.0,1.25
J90_17_9,grdlw,600000.0,18210.0,95,19901,OPT,59.68810916179337,14,96.0,96.0,96.0,1.0416666666666665
J90_18_1,grdlw,600000.0,1442.0,101,1568,OPT,39.67915778919664,13,101.0,101.0,101.0,0.0
J90_18_10,grdlw,600000.0,267.0,94,336,OPT,40.45390070921986,9,94.0,94.0,94.0,0.0
J90_18_2,grdlw,600000.0,921.0,94,3530,OPT,39.14624293024509,6,94.0,94.0,94.0,0.0
J90_18_3,grdlw,600000.0,1578.0,83,2274,OPT,43.31472230384954,7,83.0,83.0,83.0,0.0
J90_18_4,grdlw,600000.0,474.0,98,438,OPT,36.66350261034646,4,98.0,98.0,98.0,0.0
J90_18_5,grdlw,600000.0,642.0,90,591,OPT,40.248538011695906,4,90.0,90.0,90.0,0.0
J90_18_6,grdlw,600000.0,803.0,83,927,OPT,48.022860673463086,21,83.0,83.0,83.0,0.0
J90_18_7,grdlw,600000.0,197.0,73,297,OPT,45.0880626223092,2,73.0,73.0,73.0,0.0
J90_18_8,grdlw,600000.0,1063.0,92,1694,OPT,35.355948399426666,8,92.0,92.0,92.0,0.0
J90_18_9,grdlw,600000.0,676.0,79,729,OPT,35.900888769189336,9,79.0,79.0,79.0,0.0
J90_19_1,grdlw,600000.0,283.0,98,336,OPT,31.357486814950697,6,98.0,98.0,98.0,0.0
J90_19_10,grdlw,600000.0,294.0,85,372,OPT,28.586171310629517,3,85.0,85.0,85.0,0.0
J90_19_2,grdlw,600000.0,253.0,83,368,OPT,32.9481190066388,7,83.0,83.0,83.0,0.0
J90_19_3,grdlw,600000.0,416.0,89,622,OPT,31.265764732859434,5,89.0,89.0,89.0,0.0
J90_19_4,grdlw,600000.0,197.0,77,297,OPT,36.702936702936704,3,77.0,77.0,77.0,0.0
J90_19_5,grdlw,600000.0,213.0,66,360,OPT,33.76214979988565,7,66.0,66.0,66.0,0.0
J90_19_6,grdlw,600000.0,167.0,136,322,OPT,24.868024132730014,3,136.0,136.0,136.0,0.0
J90_19_7,grdlw,600000.0,348.0,66,298,OPT,44.5,6,66.0,66.0,66.0,0.0
J90_19_8,grdlw,600000.0,279.0,91,301,OPT,33.282809144878115,4,91.0,91.0,91.0,0.0
J90_19_9,grdlw,600000.0,366.0,121,426,OPT,28.5356114773888,6,121.0,121.0,121.0,0.0
J90_1_10,grdlw,600000.0,63523.0,87,76659,OPT,59.826644055021674,20,90.0,90.0,90.0,3.3333333333333335
J90_1_2,grdlw,600000.0,21421.0,92,49590,OPT,48.94988946204863,20,92.0,92.0,92.0,0.0
J90_1_5,grdlw,600000.0,2296.0,86,5066,OPT,55.21102497846684,18,87.0,87.0,87.0,1.1494252873563218
J90_20_1,grdlw,600000.0,203.0,85,265,OPT,28.497812348079727,0,85.0,85.0,85.0,0.0
J90_20_10,grdlw,600000.0,187.0,89,290,OPT,30.105031753786026,0,89.0,89.0,89.0,0.0
J90_20_2,grdlw,600000.0,243.0,76,286,OPT,31.976166832174773,0,76.0,76.0,76.0,0.0
